number,tweets,positive  match,negative  match,score,polarity
34,Morneau  speeches  remind  me  of  a  Bill  Shatner  show  h  My  Dad  Says  Nothing  he  says  is  based  in  reality  Canada  public  Debt  is  highest  it  has  ever  been,,debt,-1,negative
35,How  many  Canadians  have  coronavirus  Total  number  of  confirmed  cases  by  region  -  National,,,0,neutral
36,Sexual  Assault  Centre  Edmonton  -  24  hr  crisis  line  780-423-4121  T  T  Y  line  780-420-1482,,assault|crisis,-2,negative
37,Ford  s  idea  to  put  billboards  along  the  401  while  also  testing  out  higher  speed  limits  will  only  serve  to  distract  drivers  al,,limits|distract,-2,negative
38,loud  and  clear,clear,loud,0,neutral
39,Honoured  to  be  asked  by  Hon  to  be  a  co-convener  with  CEO  of  of  newly  launched  Parallel  Business  Group  on  Reform  Working  with  diverse  industry  stakeholders  we  will  have  an  opportunity  to  provide  advice  amp  help  advance  Canada  s  interests,reform|interests,,2,positive
40,Not  the  same  But  in  Canada  he  would  align  with  out  left  of  centre  NDPs,,,0,neutral
41,You  can  help  prevent  the  spread  of  by  washing  your  hands  not  touching  your  face  and  coughing  and  sneezing  into  y,,,0,neutral
42,Head  of  Ontario  police  asks  for  government  help  to  deal  with  officer  suicides  and  toxic  workplace  culture  -  The  Globe  and,,toxic,-1,negative
43,Here  s  what  it  looks  like  when  people  who  contract  COVID-19  and  others  with  influenzalike  symptoms  are  asked  to  self-isola,like,symptoms,0,neutral
44,DYK  that  Cape  Spear  in  Newfoundland  and  Labrador  is  the  most  easterly  point  of  North  America  Nestled  at  the  top  of  the  cliff,top,,1,positive
45,Coronavirus  outrage  as  Harvard  gives  students  five  days  to  leave  campus,,outrage,-1,negative
46,This  guidance  on  measures  for  individuals  gives  detailed  information  on  how  to  reduce  spread  of  c,guidance,,1,positive
47,More  than  just  a  race  Cain  s  Quest  team  highlights  missing  and  murdered  Indigenous  women,,,0,neutral
48,CANADA  Have  I  Got  A  Surprise  for  You,,,0,neutral
49,New  York  Governor  Andrew  Cuomo  has  announced  a  one-mile  1  6km  coronavirus  containment  zone  around  a  town  north  of  New  York  City  National  Guard  troops  will  be  used  to  clean  schools  in  the  town  and  deliver  food  to  any  quarantined  individuals,clean,,1,positive
50,Diversity  is  in  Canada  s  DNA  We  will  always  stand  up  for  LGBTQ2  Canadians  and  will  continue  to  work  to  ensure  they  c,work,,1,positive
51,What  can  do  for  you  Vol  3  782Recipients  of  in  cancelled  Pilot  Study  stay  in  work  but  to,work,,1,positive
52,Haha  another  benefit  of  living  in  Canada  no  election  update,benefit,,1,positive
53,Canada  We  are  announcing  7  new  cases  of  COVID-19  for  a  total  of  39  cases  in  British  Columbia  h  t  Shiloh  19,,,0,neutral
54,Whitman  Savage  set  to  square-off  in  Halifax  mayoral  election  Canada  News  SaltWire,,savage,-1,negative
55,Coronavirus  outrage  as  Harvard  gives  students  five  days  to  leave  campus,,outrage,-1,negative
56,Canada  says  one  of  their  citizens  contaminated  with  the  Coronavirus  came  from  Trinidad  and  Tobago  while  our  governmen,,contaminated,-1,negative
57,4th  patient  took  Montreal-area  public  transit  health  officials  say,patient,,1,positive
58,This  guy  on  the  Lightning  s  twitter  blaming  Canada  for  their  team  losing  And  I  thought  Leafs  Twitter  was  bad,,losing|bad,-2,negative
59,We  have  asked  for  the  Coronavirus  plans  of  the  Correctional  Service  of  Canada  to  protect  prisoners  Another  reason  for  accountability  and  judicial  oversight  Meanwhile  in  USA  Elizabeth  Warren  Seeks  Coronavirus  Plans  of  Private  Prisons  Mother  Jones,protect,oversight,0,neutral
60,ON  pledged  to  spend  78M  to  re-hire  those  workers  most  of  whom  were  EAs  But  Galipeau  says  the  govt  isn  t  coming  throu,,,0,neutral
61,took  these  when  i  went  to  canada  lt  3,,,0,neutral
62,It  s  happening  in  every  police  service  in  Canada  Dangerous  work  staff  shortages  and  work-related  stresses  are  com,work,dangerous|stresses,-1,negative
63,I  hope  that  this  prevents  the  rent  hikes  we  ve  been  seeing  recently  gt  gt  gt  Double  taxation  cut  will  energize  private  sector  say  N  B  business  leaders,energize,,1,positive
64,If  you  are  in  Toronto  Canada  tomorrow  Wed  or  Thurs  come  check  out  my  talk,,,0,neutral
65,never  forget  that  during  the  H1N1  epidemic  the  Government  of  Canada  sent  body  bags  to  remote  reserves  in  Manitoba  instead  o,,epidemic,-1,negative
66,It  turns  out  that  the  person  distributing  the  disgusting  decal  is  a  volunteer  with  the  same  Red  Deer  that  sai,,disgusting,-1,negative
67,The  majority  of  people  who  get  COVID-19  have  mild  disease  and  recover  says  Dr  Jocelyn  Srigley  via,recover,,1,positive
68,COVID-19  Border  services  agents  have  expressed  concerns  over  the  lack  of  Health  Canada  resources  on  the  ground  Healt,,concerns|lack,-2,negative
69,Caring  is  to  be  admired  Twitter  is  difficult  to  work  it  out  But  without  question  the  hard  part  is  who  pays  for  it  Countries  the  size  of  Connecticut  can  t  compare  to  the  logistical  nightmare  of  covering  the  US  Even  Canada  90  of  the  country  lives  w  i  30  miles  of  the  US,work,difficult|hard|nightmare,-2,negative
70,Conversion  therapy  is  harmful  it  s  scientifically  discredited  and  it  s  wrong  period  Today  and,,harmful|wrong,-2,negative
71,Canada  releases  coronavirus  guidelines  on  when  to  cancel  major  events,,,0,neutral
72,on  God  i  miss  nct  when  are  they  comin  to  canada  bro  jaehyun  mark  do  not  disappoint  ur  cityyyyy,,miss|disappoint,-2,negative
73,And  for  the  record  I  spent  a  great  part  of  my  career  filming  in  Canada  I  never  experienced  a  nicer  group  of  people  ht,great|nicer,,2,positive
74,And  now  Canada  is  letting  inI  1  sAnd  M  u  l  mB  r  o  t  h  3  r  h  0  0  dThere  are  member,,,0,neutral
75,Conversion  therapy  is  harmful  degrading  and  has  no  place  in  Canada  Period  Yesterday  and  in,,harmful|degrading,-2,negative
76,As  Coachella  and  Hatsune  Miku  s  appearance  at  the  festival  has  been  postponed  the  MIKU  EXPO  2020  USA  amp  Canada  tour  dates,,,0,neutral
77,Treecko  19  18  Ms  Pound  Energy  Ball  15  15  15  Iv  100  0  Cp  962  Lv  34Markham  Canada43  839415  -79  278809Discord  Join  Code  --  gt  HQt5D6s,,,0,neutral
78,As  Coachella  and  Hatsune  Miku  s  appearance  at  the  festival  has  been  postponed  the  MIKU  EXPO  2020  USA  amp  Canada  tour  dates,,,0,neutral
79,Criminal  cover-up  in  Canada  s  highest  office  Lowlife  in  high  places,,criminal,-1,negative
80,Ontario  is  trying  to  keep  their  numbers  low  by  refusing  to  test  people  All  of  these  so  called  experts  on  CBC  who  tell  people  to  not  worry  are  from  Ontario,,refusing|worry,-2,negative
81,Police  in  Prince  George  B  C  say  they  are  stretched  thin  responding  to  more  calls  than  ever  and  according  to  the  superint,,,0,neutral
82,Thankfully  I  can  afford  the  clinic  I  wouldn  t  be  able  to  if  I  had  insurance  coverage  and  it  was  draining  my  budget  to  the  limit  The  clinic  is  also  cheaper  than  premiums  copays  under  the  policy  my  work  offers  We  can  just  afford  medication  by  ordering  from  Canada,afford|cheaper|work,draining|limit,2,positive
83,We  need  to  STOP  wasteful  liberal  spending  and  implement  a  Conservative  plan  to  avoid  a  made-in-Canada  recession  1  2,,wasteful|conservative|recession,-3,negative
84,Yoongi  said  Canada  Canadians  it  s  a  win  for  us  today,win,,1,positive
85,The  US  is  now  world  s  No  1  energy  producer  is  out  Big  4  US  Saudi  Russia  Canada  is  in  It  is  time  to  resha,,,0,neutral
86,At  House  committee  meeting  where  Ministers  Bennett  and  Miller  are  answering  questions  from  MPs  about  the  Indigenous  Crisis,,crisis,-1,negative
87,This  is  such  a  shame  My  son  and  I  are  reading  A  History  of  Canada  in  10  Maps  and  really  enjoying  it  We  also  read  A  Geography  of  Blood  and  would  love  to  read  more  Canadian  nonfiction,enjoying|love,shame,1,positive
88,Been  saying  this  all  along  Created  bioweapons  Now  being  pointed  out  as  a  deliberate  attack  by  some  and  claims  of  it  being  created  in  the  USA  My  guess  made  in  USA  worked  with  Canada  then  stolen  from  the  lab  by  Chinese  spy  team  and  brought  to  wuhan,worked,attack|stolen,-1,negative
89,600  billion  in  alberta  s  history  compared  to  a  few  Trillion  by  Ontario  alon,,,0,neutral
90,So  far  this  week-  announced  a  law  against  LGBQT  conversion  therapy  -  attended  a  feminist  conference-  ap,,,0,neutral
91,Canada  is  forcing  doctors  to  suggest  suicide  to  their  patients  or  else  have  their  facilities  closed  This  also  means  pallia,,suicide,-1,negative
92,never  forget  that  during  the  H1N1  epidemic  the  Government  of  Canada  sent  body  bags  to  remote  reserves  in  Manitoba  instead  o,,epidemic,-1,negative
93,Bennett  says  Coastal  GasLink  project  is  in  B  C  s  hands  She  says  her  job  was  to  carry  on  with  what  was  decided  with  Supreme,supreme,,1,positive
94,Excellent  news  today  for  the  campaign  MP  has  informed  me  that  the  Government  of  wi,excellent,,1,positive
95,Coronavirus  fears  cancel  international  school  trips  on  P  E  I  CBC  News,,fears,-1,negative
96,Our  friends  at  want  you  to  experience  the  JW  Treatment  Like  this  post  tag  a  friend  amp  you  ll  have  a  ch,like,,1,positive
97,I  often  think  about  PM  Justin  Trudeau  and  how  he  came  a  long  at  the  right  time  How  fortunate  we  are  His  patience  voice,right|fortunate|patience,,3,positive
98,Should  illegals  crossing  the  border  into  Canada  be  quarantined  for  coronavirus  Currently  they  cross  with  no  medical  examin,,,0,neutral
99,Middle  of  a  housing  crisis  and  city  staff  are  wasting  time  trying  to  control  what  kind  of  groceries  a  store  sells  What  an  u,,crisis|wasting,-2,negative
100,oh  how  many  siblings  do  i  have  canada,,,0,neutral
101,The  novel  coronavirus  crisis  is  an  evolving  situation  that  has  different  health  risks  around  the  world  The  Public  Health  Age,,crisis|risks,-2,negative
102,Worm  moon  from  last  night,,,0,neutral
103,As  Coachella  and  Hatsune  Miku  s  appearance  at  the  festival  has  been  postponed  the  MIKU  EXPO  2020  USA  amp  Canada  tour  dates,,,0,neutral
104,Even  the  worst  Canada  you  are  showing  us  has  JOBS  JOBS  JOBS,,worst,-1,negative
105,Canada  is  forcing  doctors  to  suggest  suicide  to  their  patients  or  else  have  their  facilities  closed  This  also  means  pallia,,suicide,-1,negative
106,You  are  right  garbage  on  Facebook  sorry  for  lowering  Twitter  standards  Have  a  nice  night  good  health  to  all  God  Bless  Canada,right|nice|good|bless,garbage|sorry,2,positive
107,Thought  I  d  check  out  Tin  Star  on  Amazon  because  it  was  filmed  in  Alberta  and  I  miss  seeing  the  Rockies  Trying  to  get  through  the  first  episode  Do  all  British  TV  writers  think  Canada  amp  America  have  the  same  labels  for  things,,miss,-1,negative
108,TOMORROW  is  the  30th  annual  Canucks  for  Kids  Fund  Telethon  presented  by  Join  us  and  donate  now,,,0,neutral
109,These  are  mostly  Ottawa  Canada-centric  because  that  s  my  local  context  but  here  s  a  list  of  reputable  news  so,reputable,,1,positive
110,How  the  fuck  Canada  tollerates  that  Democracy  is  an  advanced  political  system  for  an  advanced  civilization  it,advanced,fuck,1,positive
111,Human  trafficking  is  the  fastest  growing  crime  in  Canada  and  in  Durham  High  school  students  from  around  the  region  gather,fastest,crime,0,neutral
112,Oh  it  ll  absolutely  be  complicated  But  I  think  most  Americans  misunderstand  Canada  s  system  eg  Canada  is  also  a  Federal  state  amp  healthcare  is  a  provincial  issue  70  of  healthcare  is  privately  delivered  hospitals  are  NOT  govt  run  Drs  are  self-employed  etc,,complicated|misunderstand|issue,-3,negative
113,Head  of  Ontario  police  asks  for  government  help  to  deal  with  officer  suicides  and  toxic  workplace  culture,,toxic,-1,negative
114,N  W  T  cemeteries  in  crisis  because  of  climate  change  say  community  representatives,,crisis,-1,negative
115,Academic  who  blew  the  whistle  on  China  s  influence  on  Australia  says  Canada  is  in  even  worse  trouble  National  Post,,worse|trouble,-2,negative
116,I  m  in  charge  now  let  s  buy  Canada  and  flip  it,,,0,neutral
117,Coronavirus  deathsChina  3119Italy  463Iran  237South  Korea  53France  30Spain  30US  22Japan  17Iraq  6UK,,,0,neutral
118,As  Coachella  and  Hatsune  Miku  s  appearance  at  the  festival  has  been  postponed  the  MIKU  EXPO  2020  USA  amp  Canada  tour  dates,,,0,neutral
119,Now  that  you  people  Is  how  we  roll  in  canada  Stanley  bliping  johnson  that  is  how  we  roll  Great  job  Loved  it,great|loved,,2,positive
120,Very  powerful  piece  from  Read  it,powerful,,1,positive
121,We  ve  moved  very  little  says  NAPS  detective  on  sexual  and  domestic  violence  in  remote  communities,,,0,neutral
122,Canada  s  top  doc  warns  Avoid  all  cruise  ship  travel,top,,1,positive
123,The  Canada  they  won  t  show  you,won,,1,positive
124,Surrey  -  eastbound  Hwy-1  Trans  Canada  Hwy  east  of  Port  Mann  Bridge  stalled  vehicle  -  CLEAR,clear,,1,positive
125,Even  before  the  crash  this  week  unemployment  in  Canada  was  getting  worse  This  is  what  happens  when  your  government,,crash|worse,-2,negative
126,Conversion  therapy  is  harmful  degrading  and  has  no  place  in  Canada  Period  Yesterday  and  in,,harmful|degrading,-2,negative
127,But  it  s  okay  will  let  all  other  airlines  fly  in  He  feels  Canada  is  deprived  of  the,,deprived,-1,negative
128,Read  this  and  tell  me  if  you  want  universal  health  care  at  least  in  America  you  can  get  care  asap  and  take  on  a  bill  in  Canada  you  wait  and  wait,,,0,neutral
129,I  m  new  this  season  to  NHL  but  picked  Toronto  because  my  Great  Aunt  amp  Uncle  put  crews  up  from  there  while  they  trained  on  Lancasters  The  surviving  chaps  kept  in  touch  after  the  war  and  paid  for  them  to  visit  families  often  Totes  love  Canada,great|love,,2,positive
130,This  is  a  nightmare  scenario  -  outbreak  in  a  nursing  home  by  via,,nightmare|outbreak,-2,negative
131,Yes  the  Conservatives  are  portrayers  of  fictitious  nonsense  A  non-confidence  vote  in  a  few  months  would  probably  give  Canada  another  Liberal  majority  gov  t  One  can  hope,,fictitious|nonsense|non-confidence,-3,negative
132,OMG  Liberals  close  palliative  care  if  Medically  assisted  death  is  not  offered  This  is  about  as  sinister  as  you  can  get,,death|sinister,-2,negative
133,Completely  unacceptable  Basically  Western  Canada  is  being  left  out  on  being  well  informed  on  the  national  issue  of  COVID-,well,unacceptable|issue,-1,negative
134,The  Arctic  Winter  Games  are  off  but  the  economic  hit  is  not,,,0,neutral
135,North  York  Ontario  Canada  December  29  2019  Sunny  Foodmart  747  Don  Mills  Road  Toyota  Camry  approx  2012  Male  2000,,,0,neutral
136,FACT  thank  you  in  now  -  Trudeau  since  2017  has  allowed  ILLEGAL  immigrants  into  wit,thank,illegal,0,neutral
137,Morneau  We  have  a  strong  fiscal  position  We  have  been  lowering  our  level  of  debt  as  a  function  of  our  economy  over  th,strong,debt,0,neutral
138,Laurentian  professor  releases  history  e-book  with  local  Indigenous  perspective,,,0,neutral
139,Not  to  keep  coming  back  to  this  but  it  s  an  interesting  development  and  further  endorsement  of  the  idea  of  annual  pub,interesting|endorsement,,2,positive
140,That  doesn  t  mean  you  re  not  missing  cases  Canada  is  almost  surely  missing  cases  unless  travel  from  Seattle  to  Vancouver  is  pretty  much  shut  tight  and  it  s  not,pretty,,1,positive
141,This  is  a  small  business  owner  who  has  been  harassed  by  Revenue  Canada  for  the  second  year  after  I  filed  my  taxes  Why  bother,,harassed|bother,-2,negative
142,The  Nigerian  embassy  in  Ottawa  capital  of  Canada  could  not  process  passport  renewal  because  the  machine  has  spoilt  and  t,,,0,neutral
143,Fears  of  COVID-19  sees  9  James  Bay  Coast  teams  pull  out  of  Little  NHL  tournament,,fears,-1,negative
144,If  we  end  up  with  Medicare  for  all  nobody  is  going  to  be  seen  in  a  hospital  I  know  someone  who  had  a  collapsed  lung  in  Canada  and  had  to  go  to  UNTRAINED  civilians  because  getting  into  a  hospital  clinic  is  nearly  impossible  It  sounds  nice  until  you  look  at  the  big  picture,nice,impossible,0,neutral
145,If  Canada  is  any  indication  it  won  t  change  much  just  bc  there  isn  t  much  more  to  be  done  than  taking  these  kinds  of  precautions  when  there  aren  t  many  cases  no  matter  who  they  are  e  g  we  have  a  prominent  city  councillor  self  isolating  now  It  changes  with  community  spread,won|prominent,,2,positive
146,AMAZING  GOAL  Saphir  Ta  der  scores  this  beautiful  volley  to  shorten  the  difference,amazing|beautiful,,2,positive
147,Could  block  him  but  wondering  what  can  do  I  thought  social  media  were  cracking  down  on  disinformation  like  this--there  s  no  way  to  report  someone  for  this  on  Twitter  far  as  I  know  If  not  maybe  or,like,,1,positive
148,Coronavirus  deathsChina  3136Italy  631Iran  291S  Korea  60Spain  35France  33US  28Japan  10Iraq  7UK  6Ne,,,0,neutral
149,No  doubt  the  statistics  are  similar  in  Canada,,doubt,-1,negative
150,Canada  s  track  record  with  regards  to  the  treatment  of  First  Nations  people  is  unarguably  very  shameful  but  the  body  bag  story  is  misleading  The  bags  were  ordered  by  the  nursing  stations  There  was  an  inquiry,,shameful|misleading,-2,negative
151,We  want  to  know  why  Premier  Moe  thinks  it  would  be  a  good  idea  to  call  an  election  during  a  pandemic,premier|good,,2,positive
152,Canada  has  moved  on  The  abortion  debate  is  over  There  s  no  point  dragging  the  party  through  this  again  since  80  of  Cdns  are  pro  choice  LGBTQ  amp  SSM  rights  are  widely  accepted  by  the  majority  of  Canadians  as  well  Conservatives  believe  in  individual  choice  Let  s  remember  that,well,dragging,0,neutral
153,They  will  be  busy  passing  the  buck  under  our  noses  for  the  next  few  weeks  at  the  end  of  the  day  they  will  try  to  blame  us  for  this  Stay  vigilant  snapshot  everything,vigilant,blame,0,neutral
154,Good  for  you  sister  If  you  just  can  t  afford  to  catch  it  act  accordingly  A  little  paranoia  can  lead  to  a  VERY  long  life,good|afford|lead,paranoia,2,positive
155,Queen  -  I  Want  It  All  1989,,,0,neutral
156,Muscum  thinking  it  s  great  to  rape  children  because  Mohomo  made  it  legal,great,rape,0,neutral
157,ON  pledged  to  spend  78M  to  re-hire  those  workers  most  of  whom  were  EAs  But  Galipeau  says  the  govt  isn  t  coming  throu,,,0,neutral
158,I  seriously  need  to  move  to  Canada  I  can  t  take  this  shit  anymore,,shit,-1,negative
159,I  have  same  issue  Downloaded  it  in  Canada  but  never  really  setup  my  account  till  Was  in  Maui,,issue,-1,negative
160,Ruin  Our  Territory  for  What  A  massive  standoff  over  a  pipeline  through  Wet  suwet  en  land  is  pushing  Canada  to  co,,ruin,-1,negative
161,Don  t  let  them  suck  you  into  this  bad  policy  Hold  the  Referendum  amp  put  the  rest  of  Canada  on  Notice  You  have  a  will,,suck|bad,-2,negative
162,TAKE  ACTION  Ask  General  Motors  Canada  to  stop  supporting  the  chuckwagon  race  at  the  Calgary  Stampede  Six  horses  died  in  the  race  last  year  More  than  70  have  died  since  1986,supporting,stampede|died,-2,negative
163,I  m  choosing  to  ignore  the  implications  of  this,,ignore,-1,negative
164,12  Marzo  will  host  a  presentation  about  its  latest  report  submitted  to  the  describ,,,0,neutral
165,One  thing  I  believe  will  help  save  democracy  in  Canada  would  be  to  make  voting  mandatory  like  paying  taxes  That  way  attempts  to  suppress  voting  will  be  thwarted,like,suppress,0,neutral
166,A1  2  5  I  feel  as  a  country  that  Canada  is  one  of  the  most  prepared  countries  to  handle  the  outbreak  and  I  sit  on  our  local  public  health  board  and  we  have  lots  of  preparations  in  place  Just  keep  washing  hands,,outbreak,-1,negative
167,Hence  our  name  Canada  s  chocolate  town,,,0,neutral
168,Everyone  These  curves  both  the  US  and  Canada  are  starting  to  bend  upwards  Time  is  becoming  of,,,0,neutral
169,For  me  it  s  availability  I  d  like  to  try  however  your  demo  program  is  only  offered  in  USA  I  m  in  Canada  and  over  5  000  km  away  from  retailers  you  mentioned  previously  Love  that  you  ve  released  a  LH  version  though  Also  would  you  sell  heads  separately,like|love,,2,positive
170,We  re  okay  in  Canada,,,0,neutral
171,Canada  has  an  economy  What  is  it  It  s  not  a  resource  based  economy  anymore  What  the  fuck  is  Canada  s,,fuck,-1,negative
172,Canada  releases  coronavirus  guidelines  on  when  to  cancel  major  events,,,0,neutral
173,Coronavirus  deathsChina  3136Italy  631Iran  291S  Korea  60Spain  35France  33US  28Japan  10Iraq  7UK  6Nethe,,,0,neutral
174,,,,0,neutral
175,Coronavirus  deathsChina  3136Italy  631Iran  291S  Korea  60Spain  35France  33US  28Japan  10Iraq  7UK  6Netherl,,,0,neutral
176,This  is  not  only  happening  with  Jihadists  here  in  Canada  Criminal  migrants  of  all  kinds  are  entering  Montreal  an,,criminal,-1,negative
177,This  on  top  of  calling  the  decal  not  child  porn  when  it  was  quite  obviously  so  is  a  black  mark  on  Canada  You  re  supposed  to  uphold  the  law  You  re  part  of  the  face  of  our  good  reputation  How  shameful  you  stain  it,top|uphold|good|reputation,shameful|stain,2,positive
178,Is  doing  anything  He  seems  to  concern  himself  with  things  of  absolutely  no  importance  to  Canada,,concern,-1,negative
179,is  a  disgrace  and  an  embarrassment  and  a  traitor  to  Canada,,disgrace|embarrassment|traitor,-3,negative
180,Quote  from  Criminal  Code  of  Canada  a  visual  representation  whether  or  not  it  was  made  by  electro,,criminal,-1,negative
181,OMG  Liberals  close  palliative  care  if  Medically  assisted  death  is  not  offered  This  is  about  as  sinister  as  you  can  get,,death|sinister,-2,negative
182,I  miss  Target  I  wish  she  would  come  back  to  Canada,,miss,-1,negative
183,Every  claim  I  have  made  regarding  this  economy  has  been  proven  correct  Ok  Boomer  You  may  hate  the  youth  and  think  they  owe  you  a  pension  but  the  reality  is  Canada  is  in  trouble  and  cuts  need  to  be  made  across  the  board  starting  with  government  hires  and  wages,proven|correct,hate|trouble,0,neutral
184,I  ve  never  seen  mortadella  on  a  pizza  here  or  in  Canada  but  a  cured  meat  is  a  cured  meat  good  on  pizzathat  said  i  would  NOT  eat  bologna  on  a  pizza,good,,1,positive
185,bro  i  live  in  Canada  right  and  my  TL  is  all  about  bernie  sanders  rn  mf  im  about  to  go  down  and  vote  for  him,right,,1,positive
186,Yes  that  is  correct  if  euthanasia  is  not  provided  a  Hospice  is  being  forced  to  close  or  be  absorbed  by  the  govern,correct,,1,positive
187,It  turns  out  that  the  person  distributing  the  disgusting  decal  is  a  volunteer  with  the  same  Red  Deer  that  sai,,disgusting,-1,negative
188,Need  another  reason  to  hate  the  oil  industry  They  say  it  s  too  hard  to  ban  single-use  plastic  bags  in  Canada  Kenya,,hate|hard,-2,negative
189,I  hate  Democrats  they  re  just  like  Liberals  in  Canada  pompous  full  of  themselves  and  partisan  But  one  I  do  like  is  Jennifer  Granholm  former  MI  Governor  She  s  strong  more  open  to  other  ideas  and  very  business  like  Very  astute,like|strong,hate|pompous|partisan,1,positive
190,Ok  So  it  s  becoming  very  apparent  that  the  NDP  and  the  Conservatives  are  so  intent  on  discrediting  the  Prime  Minister  tha,,,0,neutral
191,The  Government  of  Canada  has  an  excellent  resource  on  what  you  need  in  the  house  in  case  of  quarantine  amp  illness  It  s  desig,excellent,illness,0,neutral
192,So  does  this  mean  that  the  Mohawks  will  be  stripped  of  their  OHIP  cards  they  ll  stop  getting  taxpayer  dollars  does  it  mea,,,0,neutral
193,Canadian  friends  spread  the  word  to  your  American  friends  living  in  Canada  Tell  them  You  can  vote  from  wherever  you  ar,,,0,neutral
194,Damn  looks  like  Canada  is  full  of  commies  then,like,damn,0,neutral
195,Canada  is  forcing  doctors  to  suggest  suicide  to  their  patients  or  else  have  their  facilities  closed  This  also  means  pallia,,suicide,-1,negative
196,Good  morning  Twitterville  from  Canada  with  the  Have  a  beautiful  day,good|beautiful,,2,positive
197,Not  that  much  He  was  pretty  good  for  Canada  but  did  zero  for  energy  independence  Loved  Saudi  oil  too  He  also  loved  Pierre  Trudeau  s  communist  supply  management  for  dairy  He  was  responsible  at  least  but  he  is  a  pure  politician  like  the  rest  We  need  someone  like  Trump,pretty|good|loved|pure|like|trump,,8,positive
